year,total,MAG,OA,CR,combined,MAG%,OA%,CR%,comb%
1976,1,1,1,1,1,1.0,1.0,1.0,1.0
1979,7,6,5,5,6,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571
1980,11,8,6,6,8,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273
1981,20,15,12,10,16,0.75,0.6,0.5,0.8
1982,28,21,19,15,22,0.75,0.6785714285714286,0.5357142857142857,0.7857142857142857
1983,19,16,9,10,16,0.8421052631578947,0.47368421052631576,0.5263157894736842,0.8421052631578947
1984,42,35,28,23,35,0.8333333333333334,0.6666666666666666,0.5476190476190477,0.8333333333333334
1985,63,43,36,25,47,0.6825396825396826,0.5714285714285714,0.3968253968253968,0.746031746031746
1986,80,60,53,45,65,0.75,0.6625,0.5625,0.8125
1987,91,71,63,60,73,0.7802197802197802,0.6923076923076923,0.6593406593406593,0.8021978021978022
1988,167,146,128,117,149,0.874251497005988,0.7664670658682635,0.7005988023952096,0.8922155688622755
1989,238,181,167,162,192,0.7605042016806722,0.7016806722689075,0.680672268907563,0.8067226890756303
1990,322,256,225,215,264,0.7950310559006211,0.6987577639751553,0.6677018633540373,0.8198757763975155
1991,414,331,305,286,346,0.7995169082125604,0.7367149758454107,0.6908212560386473,0.8357487922705314
1992,493,417,357,346,432,0.845841784989858,0.7241379310344828,0.7018255578093306,0.8762677484787018
1993,679,590,506,471,609,0.8689248895434463,0.7452135493372607,0.6936671575846833,0.8969072164948454
1994,986,818,709,665,834,0.8296146044624746,0.7190669371196755,0.6744421906693712,0.845841784989858
1995,1265,1078,951,893,1113,0.8521739130434782,0.7517786561264822,0.7059288537549407,0.8798418972332016
1996,1643,1394,1282,1196,1431,0.8484479610468655,0.780279975654291,0.7279367011564212,0.8709677419354839
1997,1857,1566,1411,1332,1627,0.8432956381260097,0.7598276790522348,0.7172859450726979,0.8761443187937533
1998,2608,2175,1967,1894,2259,0.8339723926380368,0.754217791411043,0.7262269938650306,0.866180981595092
1999,3375,2810,2478,2336,2902,0.8325925925925926,0.7342222222222222,0.6921481481481482,0.8598518518518519
2000,4294,3617,3107,2983,3735,0.8423381462505822,0.7235677689799721,0.6946902654867256,0.8698183511877038
2001,14869,13009,11830,11314,13428,0.874907525724662,0.7956150379985204,0.7609119644898783,0.9030869594458268
2002,24545,21395,19540,18474,22118,0.8716642900794459,0.7960888164595641,0.7526583825626401,0.9011203911183541
2003,37080,32158,29191,27562,33217,0.867259978425027,0.7872437971952535,0.743311758360302,0.8958198489751887
2004,44279,38489,35122,33075,39901,0.8692382393459653,0.7931976783576865,0.7469680887102238,0.9011269450529596
2005,49502,43135,39718,37367,44673,0.8713789341844774,0.8023514201446407,0.7548583895600178,0.902448385923801
2006,72121,62412,57663,54470,64942,0.8653790158206348,0.7995313431594127,0.755258523869608,0.9004589509296876
2007,94585,80951,74616,70379,84317,0.8558545223872707,0.7888777290268013,0.7440820426071787,0.8914415605011365
2008,122365,103201,94801,88568,107748,0.8433865893024967,0.7747395088464839,0.7238017406938259,0.8805459077350549
2009,136037,115251,105740,99458,120125,0.8472033343869683,0.7772885317964966,0.7311099186250799,0.8830318222248359
2010,151624,129056,118052,111943,133901,0.8511581280008442,0.7785838653511318,0.7382934100142458,0.8831121722154804
2011,176269,149335,137098,130402,155182,0.8471994508393421,0.7777771474280787,0.7397897531613613,0.8803703430552168
2012,213449,178222,164218,154621,186041,0.8349629185426026,0.7693547404766479,0.7243931805724084,0.8715946197920815
2013,232086,200448,185253,177409,208065,0.8636798428168868,0.7982084227398465,0.76441060641314,0.8964995734339857
2014,247926,217795,200801,194518,225458,0.878467768608375,0.8099231222219533,0.784580883005413,0.9093761848293442
2015,262031,232483,212195,208735,240226,0.8872347165030092,0.8098087630852838,0.7966042185848239,0.9167846552507146
2016,266138,236134,211814,213864,243735,0.8872614959156527,0.795880332759696,0.8035831035026941,0.9158218668510322
2017,157263,133472,115949,118761,138893,0.8487183889408189,0.7372935782733383,0.7551744529863986,0.883189307084311
2018,33000,26005,22875,22713,27601,0.7880303030303031,0.6931818181818182,0.6882727272727273,0.8363939393939394
